keyword,title,price,raw_price,old_price,extracted_old_price,rating,reviews,platform,position,delivery,link,thumbnail,brand,price_range,visibility_score,discount_percentage
office chair ergonomic,HP office chair ergonomic Model 603,36225.0,,,,3.7,3241,Croma,,2 Days,,,HP,Luxury,,
microwave oven convection,Samsung microwave oven convection Model 524,,,,,4.7,1294,Amazon,,Free Delivery,,,Samsung,Unknown,,
power bank fast charging,Samsung power bank fast charging Model 402,,,,,,3070,Croma,,Free Delivery,,,Samsung,Unknown,,
microwave oven convection,Dell microwave oven convection Model 877,2507.0,,,,4.7,3446,Flipkart,,Free Delivery,,,Dell,Mid-Range,,
men running shoes,Dell men running shoes Model 536,2176.0,,,,3.8,2031,Croma,,5 Days,,,Dell,Mid-Range,,
power bank fast charging,Samsung power bank fast charging Model 562,5331.0,,,,,4124,Reliance Digital,,5 Days,,,Samsung,Premium,,
air fryer India,Philips air fryer India Model 259,,,,,2.8,1761,Croma,,5 Days,,,Philips,Unknown,,
office chair ergonomic,Philips office chair ergonomic Model 836,4564.0,,,,3.0,1540,Amazon,,Free Delivery,,,Philips,Mid-Range,,
microwave oven convection,Boat microwave oven convection Model 588,21830.0,,,,4.0,126,Croma,,Free Delivery,,,Boat,Luxury,,
office chair ergonomic,Puma office chair ergonomic Model 591,19233.0,,,,4.6,3911,Reliance Digital,,5 Days,,,Puma,Premium,,
men running shoes,Boat men running shoes Model 859,20381.0,,,,,684,Amazon,,2 Days,,,Boat,Luxury,,
office chair ergonomic,Puma office chair ergonomic Model 417,8744.0,,,,4.9,3832,Croma,,2 Days,,,Puma,Premium,,
power bank fast charging,Dell power bank fast charging Model 575,190200.0,,,,4.5,4367,Croma,,Free Delivery,,,Dell,Luxury,,
power bank fast charging,Sony power bank fast charging Model 896,5150.0,,,,5.0,2220,Croma,,2 Days,,,Unknown,Premium,,
air fryer India,Philips air fryer India Model 339,45304.0,,,,2.7,1761,Reliance Digital,,2 Days,,,Philips,Luxury,,
men running shoes,Philips men running shoes Model 418,9160.0,,,,3.7,2887,Amazon,,5 Days,,,Philips,Premium,,
power bank fast charging,LG power bank fast charging Model 382,10945.0,,,,2.9,3032,Amazon,,Free Delivery,,,LG,Premium,,
microwave oven convection,HP microwave oven convection Model 409,17931.0,,,,2.9,4166,Amazon,,2 Days,,,HP,Premium,,
office chair ergonomic,Puma office chair ergonomic Model 198,15160.0,,,,3.2,1275,Flipkart,,2 Days,,,Puma,Premium,,
microwave oven convection,Samsung microwave oven convection Model 810,,,,,3.3,105,Croma,,Free Delivery,,,Samsung,Unknown,,
air fryer India,Sony air fryer India Model 266,45361.0,,,,3.1,2934,Croma,,5 Days,,,Unknown,Luxury,,
men running shoes,Puma men running shoes Model 233,,,,,4.2,4990,Flipkart,,Free Delivery,,,Puma,Unknown,,
power bank fast charging,Puma power bank fast charging Model 621,48199.0,,,,,203,Amazon,,2 Days,,,Puma,Luxury,,
